room_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,minimum_nights,availability_365,number_of_reviews,review_scores_rating,price,host_days,host_identity_verified,host_is_superhost
363237.0,-33.88903293,151.1395287,2.0,1.0,1.0,1.0,595.0,60.0,1.0,0.0,3.0,93.0,85.0,2371.0,0.0,0.0
363282.0,-33.87109183,151.2239813,3.0,1.0,1.0,1.0,300.0,90.0,2.0,361.0,60.0,97.0,250.0,2371.0,0.0,0.0
374072.0,-33.88621625,151.2761009,9.0,2.0,4.0,7.0,1000.0,100.0,6.0,21.0,11.0,93.0,375.0,2158.0,1.0,0.0
379498.0,-33.885172,151.2126384,4.0,1.5,2.0,2.0,700.0,100.0,2.0,283.0,27.0,93.0,299.0,2316.0,1.0,1.0
381091.0,-33.882912,151.2112143,2.0,1.0,1.0,1.0,200.0,50.0,2.0,138.0,275.0,98.0,148.0,2066.0,1.0,1.0
381135.0,-33.88873165,151.2770606,2.0,1.0,1.0,1.0,300.0,60.0,3.0,153.0,57.0,92.0,130.0,2036.0,1.0,0.0
388168.0,-33.83183583,151.2268325,1.0,1.0,1.0,1.0,0.0,7.0,3.0,0.0,60.0,95.0,57.0,2297.0,1.0,1.0
389876.0,-33.88926107,151.2017218,4.0,1.0,1.0,0.0,300.0,87.0,1.0,231.0,404.0,98.0,136.0,2297.0,1.0,1.0
390867.0,-33.80143379,151.2904485,2.0,2.0,1.0,1.0,0.0,20.0,3.0,361.0,6.0,97.0,92.0,2296.0,0.0,1.0
397905.0,-33.88525927,151.2824301,2.0,2.0,3.0,1.0,300.0,20.0,2.0,0.0,8.0,98.0,100.0,2292.0,1.0,0.0
401004.0,-33.87965579,151.2795381,1.0,1.0,1.0,1.0,500.0,50.0,5.0,307.0,0.0,96.0,53.0,2906.0,0.0,0.0
401238.0,-33.88667777,151.2246512,4.0,2.0,2.0,2.0,800.0,100.0,2.0,0.0,100.0,98.0,170.0,2314.0,1.0,0.0
403909.0,-33.88631469,151.2308099,1.0,1.0,1.0,1.0,300.0,60.0,1.0,0.0,1.0,80.0,74.0,2288.0,0.0,0.0
405375.0,-33.8938249,151.1643959,4.0,1.0,2.0,2.0,1000.0,80.0,7.0,317.0,27.0,96.0,161.0,2287.0,1.0,0.0
405432.0,-33.76429371,151.2585167,2.0,1.0,0.0,1.0,0.0,20.0,1.0,290.0,255.0,95.0,90.0,2287.0,1.0,1.0
408200.0,-33.78438876,150.8457134,4.0,2.0,2.0,4.0,126.0,50.0,3.0,365.0,23.0,95.0,50.0,2393.0,0.0,0.0
408330.0,-33.88894932,151.2766598,6.0,1.0,2.0,4.0,500.0,80.0,2.0,338.0,49.0,90.0,239.0,2036.0,1.0,0.0
409800.0,-33.88790886,151.2327402,2.0,1.0,1.0,2.0,100.0,50.0,14.0,0.0,2.0,90.0,99.0,2770.0,1.0,0.0
410073.0,-33.87038111,151.2204651,4.0,1.0,1.0,3.0,400.0,99.0,4.0,309.0,144.0,94.0,171.0,2283.0,1.0,1.0
413896.0,-33.89328141,151.1985039,2.0,1.0,1.0,1.0,300.0,70.0,7.0,18.0,7.0,100.0,130.0,2310.0,0.0,0.0
413968.0,-33.82634131,151.0184278,2.0,1.0,1.0,1.0,100.0,200.0,1.0,365.0,0.0,96.0,90.0,2310.0,0.0,0.0
418136.0,-33.76849972,151.258557,4.0,1.0,1.0,2.0,500.0,75.0,3.0,101.0,30.0,90.0,105.0,2249.0,1.0,0.0
420647.0,-33.89285127,151.1898861,3.0,1.0,2.0,0.0,300.0,60.0,2.0,280.0,125.0,99.0,167.0,2157.0,1.0,1.0
424931.0,-33.89297166,151.2047089,2.0,3.0,1.0,0.0,300.0,35.0,1.0,359.0,63.0,97.0,98.0,2096.0,0.0,0.0
426398.0,-33.88104754,151.2229594,4.0,1.0,1.0,4.0,150.0,0.0,1.0,295.0,136.0,90.0,105.0,2339.0,1.0,0.0
426879.0,-33.85888527,151.1919931,2.0,1.0,1.0,1.0,0.0,90.0,2.0,27.0,104.0,97.0,111.0,2035.0,1.0,0.0
429733.0,-33.88532782,151.2636688,2.0,1.0,1.0,1.0,500.0,100.0,7.0,0.0,1.0,80.0,150.0,2600.0,0.0,0.0
